event_id,event_name,event_date,location,venue
1,UFC 300: Pereira vs Hill,2024-04-13,Las Vegas Nevada USA,T-Mobile Arena
2,UFC 299: O'Malley vs Vera 2,2024-03-09,Miami Florida USA,Kaseya Center
3,UFC 298: Volkanovski vs Topuria,2024-02-17,Anaheim California USA,Honda Center
4,UFC 297: Strickland vs du Plessis,2024-01-20,Toronto Ontario Canada,Scotiabank Arena
5,UFC 296: Edwards vs Muhammad,2023-12-16,Las Vegas Nevada USA,T-Mobile Arena
6,UFC 295: Prochazka vs Pereira,2023-11-11,New York New York USA,Madison Square Garden
7,UFC 294: Makhachev vs Volkanovski 2,2023-10-21,Abu Dhabi UAE,Etihad Arena
8,UFC 293: Adesanya vs Strickland,2023-09-09,Sydney Australia,Qudos Bank Arena
9,UFC 292: Sterling vs O'Malley,2023-08-19,Boston Massachusetts USA,TD Garden
10,UFC 291: Poirier vs Gaethje 2,2023-07-29,Salt Lake City Utah USA,Delta Center
